"target","mode","rank","candidate","score","sig_share","coint_share","n_windows","selected_for_contract"
"wealth_share_gap_top10_bottom50","positive",9,"wealth_share_gap_top1_bottom50",0,0,0,1,FALSE
"wealth_share_gap_top10_bottom50","positive",10,"cc_delinquency",0,0,0,15,FALSE
"wealth_share_gap_top10_bottom50","positive",11,"transfers_total",0,0,0,1,FALSE
"wealth_share_gap_top1_bottom50","least",1,"equity_wealth_proxy",NA,0,0,3,FALSE
"wealth_share_gap_top1_bottom50","least",2,"cc_delinquency",NA,0,0,3,FALSE
"wealth_share_gap_top1_bottom50","least",3,"ui_benefits",NA,0,0,3,FALSE
"wealth_share_gap_top1_bottom50","least",4,"fed_funds",NA,0,0,8,FALSE
"wealth_share_gap_top1_bottom50","least",5,"top10_wealth_share",NA,0,0,1,FALSE
"wealth_share_gap_top1_bottom50","least",6,"snap_persons",NA,0,0,10,FALSE
"wealth_share_gap_top1_bottom50","least",7,"wealth_share_gap_top10_bottom50",NA,0,0,1,FALSE
"wealth_share_gap_top1_bottom50","negative",1,"equity_wealth_proxy",0,0,0,3,FALSE
"wealth_share_gap_top1_bottom50","negative",2,"cc_delinquency",0,0,0,3,FALSE
"wealth_share_gap_top1_bottom50","negative",3,"ui_benefits",0,0,0,3,FALSE
"wealth_share_gap_top1_bottom50","negative",4,"fed_funds",0,0,0,8,FALSE
"wealth_share_gap_top1_bottom50","negative",5,"top10_wealth_share",0,0,0,1,FALSE
"wealth_share_gap_top1_bottom50","negative",6,"snap_persons",0,0,0,10,FALSE
"wealth_share_gap_top1_bottom50","negative",7,"wealth_share_gap_top10_bottom50",0,0,0,1,FALSE
"wealth_share_gap_top1_bottom50","positive",1,"equity_wealth_proxy",0,0,0,3,TRUE
"wealth_share_gap_top1_bottom50","positive",2,"cc_delinquency",0,0,0,3,TRUE
"wealth_share_gap_top1_bottom50","positive",3,"ui_benefits",0,0,0,3,TRUE
"wealth_share_gap_top1_bottom50","positive",4,"fed_funds",0,0,0,8,TRUE
"wealth_share_gap_top1_bottom50","positive",5,"top10_wealth_share",0,0,0,1,TRUE
"wealth_share_gap_top1_bottom50","positive",6,"snap_persons",0,0,0,10,FALSE
"wealth_share_gap_top1_bottom50","positive",7,"wealth_share_gap_top10_bottom50",0,0,0,1,FALSE
